City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
23,Butaritari,3.0707,172.7902,81.91,76,37,12.06,KI,2022-04-17 01:38:36
24,Punta Arenas,-53.15,-70.9167,46.51,81,40,13.8,CL,2022-04-17 01:36:59
25,Clyde River,70.4692,-68.5914,-10.97,84,100,4.61,CA,2022-04-17 01:38:37
26,Fukue,32.6881,128.8419,62.96,67,20,4.61,JP,2022-04-17 01:38:38
27,Bredasdorp,-34.5322,20.0403,56.14,83,2,7.65,ZA,2022-04-17 01:37:11
28,Vaini,-21.2,-175.2,80.56,75,42,12.17,TO,2022-04-17 01:37:07
29,Avarua,-21.2078,-159.775,84.25,74,75,10.36,CK,2022-04-17 01:38:38
30,Nohar,29.1833,74.7667,84.06,13,86,10.22,IN,2022-04-17 01:38:39
31,Lorengau,-2.0226,147.2712,84.2,74,55,5.75,PG,2022-04-17 01:38:39
32,Arraial Do Cabo,-22.9661,-42.0278,72.61,70,0,14.92,BR,2022-04-17 01:38:40
33,Thompson,55.7435,-97.8558,24.96,42,100,5.75,CA,2022-04-17 01:38:40
34,Ribeira Grande,38.5167,-28.7,59.61,78,1,18.48,PT,2022-04-17 01:36:53
35,Solnechnyy,50.7214,136.6319,31.23,87,100,8.84,RU,2022-04-17 01:38:41
36,Porto Novo,6.4965,2.6036,82.22,82,100,4.83,BJ,2022-04-17 01:38:41
37,New Norfolk,-42.7826,147.0587,74.88,36,100,10.22,AU,2022-04-17 01:38:42
38,Castro,-24.7911,-50.0119,49.57,96,0,5.3,BR,2022-04-17 01:36:58
39,Verkhovazhye,60.7472,42.0465,23.63,98,17,2.26,RU,2022-04-17 01:38:42
40,La Rioja,42.25,-2.5,40.78,67,0,5.59,ES,2022-04-17 01:38:43
41,Barrow,71.2906,-156.7887,8.62,72,0,18.41,US,2022-04-17 01:37:09
42,Kaeo,-35.1,173.7833,68.32,79,100,19.69,NZ,2022-04-17 01:38:43
43,Aripuana,-9.1667,-60.6333,73.15,99,87,1.1,BR,2022-04-17 01:38:44
44,Kloulklubed,7.0419,134.2556,82.45,72,47,0.85,PW,2022-04-17 01:38:44
45,Peno,56.9262,32.7426,24.84,96,8,6.15,RU,2022-04-17 01:38:45
46,Tigil,57.8,158.6667,26.83,79,99,9.31,RU,2022-04-17 01:39:45
47,Faanui,-16.4833,-151.75,81.34,72,6,11.7,PF,2022-04-17 01:39:46
48,Evensk,61.95,159.2333,32.65,81,100,5.79,RU,2022-04-17 01:39:46
49,Flin Flon,54.7682,-101.865,21.74,88,100,3.15,CA,2022-04-17 01:39:47
50,Santa Cruz,-17.8,-63.1667,71.06,60,75,11.5,BO,2022-04-17 01:38:51
51,Simpang,-1.2667,104.0833,83.66,76,100,2.08,ID,2022-04-17 01:39:47
